user_id,treatment_group,loan_amount,loan_tenure_months,credit_score,repayment_outcome
user_1,control,5512,12,570,defaulted
user_2,treatment,7814,12,673,paid
user_3,control,6425,6,751,paid
user_4,control,4134,12,581,paid
user_5,control,3652,6,659,paid
user_6,treatment,5737,12,616,paid
user_7,control,3019,12,671,paid
user_8,control,7747,12,650,paid
user_9,control,6769,6,617,late
user_10,treatment,4296,6,674,paid
user_11,control,2430,12,740,late
user_12,control,7030,6,640,paid
user_13,control,4828,6,685,paid
user_14,control,6856,6,585,paid
user_15,treatment,2608,18,602,paid
user_16,control,4100,12,673,paid
user_17,treatment,5007,12,724,paid
user_18,treatment,5070,6,667,paid
user_19,treatment,4324,12,634,late
user_20,control,5934,12,649,defaulted
user_21,treatment,3398,12,587,paid
user_22,control,4786,6,680,paid
user_23,treatment,5180,6,694,paid
user_24,treatment,5771,6,627,paid
user_25,treatment,6067,12,626,late
user_26,treatment,3313,12,663,paid
user_27,treatment,2698,6,628,paid
user_28,treatment,6916,6,646,defaulted
user_29,treatment,5498,6,754,paid
user_30,treatment,3877,18,637,paid
user_31,control,7326,6,632,paid
user_32,control,5173,12,617,paid
user_33,treatment,6768,12,687,paid
user_34,treatment,5101,12,640,paid
user_35,treatment,8091,6,617,paid
user_36,control,7633,6,716,paid
user_37,treatment,4626,12,720,paid
user_38,control,6457,12,619,paid
user_39,control,5968,12,556,late
user_40,control,7052,12,700,paid
user_41,control,3552,6,615,paid
user_42,control,6029,18,689,paid
user_43,treatment,6587,12,551,paid
user_44,treatment,2361,6,694,paid
user_45,treatment,3225,18,589,paid
user_46,treatment,1941,12,686,paid
user_47,treatment,4595,12,650,paid
user_48,control,6076,12,602,paid
user_49,treatment,7253,18,629,late
user_50,treatment,5111,12,684,paid
user_51,control,7442,6,655,paid
user_52,treatment,2929,12,679,paid
user_53,control,2444,18,748,paid
user_54,treatment,4916,6,571,defaulted
user_55,control,5576,12,730,paid
user_56,treatment,4950,12,655,paid
user_57,treatment,1898,12,605,paid
user_58,control,4866,12,583,paid
user_59,control,3043,18,640,paid
user_60,control,6004,6,696,paid
user_61,control,5549,6,643,paid
user_62,control,3590,6,725,paid
user_63,control,4229,18,577,paid
user_64,control,3411,12,649,paid
user_65,control,4905,6,587,paid
user_66,treatment,6432,18,668,paid
user_67,treatment,3521,18,694,late
user_68,control,5756,18,628,paid
user_69,treatment,4204,18,519,defaulted
user_70,treatment,3810,6,659,paid
user_71,treatment,4839,12,671,paid
user_72,treatment,3447,12,670,paid
user_73,control,4169,18,711,paid
user_74,treatment,3203,12,596,paid
user_75,control,7947,12,684,paid
user_76,treatment,5052,12,709,paid
user_77,treatment,3950,6,561,defaulted
user_78,treatment,5320,12,665,paid
user_79,control,4831,18,624,paid
user_80,treatment,4668,18,645,paid
user_81,control,5921,6,667,paid
user_82,treatment,6136,6,625,paid
user_83,control,4204,6,616,paid
user_84,treatment,4136,12,651,late
user_85,control,4587,18,595,late
user_86,control,1547,6,595,paid
user_87,treatment,2727,12,683,paid
user_88,control,7050,18,592,defaulted
user_89,treatment,7467,12,683,paid
user_90,treatment,4626,12,673,paid
user_91,treatment,5864,12,563,paid
user_92,treatment,5466,12,616,paid
user_93,treatment,9618,6,709,paid
user_94,treatment,6679,12,600,paid
user_95,treatment,4808,12,626,paid
user_96,treatment,3566,18,673,paid
user_97,treatment,2590,12,689,paid
user_98,treatment,5305,12,637,paid
user_99,treatment,3865,6,620,paid
user_100,control,2866,12,721,paid
user_101,control,4030,6,736,paid
user_102,treatment,3377,6,698,paid
user_103,treatment,7530,12,654,paid
user_104,treatment,6322,18,609,late
user_105,treatment,4988,6,608,defaulted
user_106,treatment,7219,12,676,paid
user_107,treatment,5116,18,670,paid
user_108,treatment,3708,6,720,paid
user_109,treatment,7284,12,682,paid
